sk_cliente,cliente_id_natural,chartmogul_id,external_id,email,nombre_cliente,empresa,pais_codigo,estado_cliente,lead_status,fecha_cliente_desde,mrr,arr,es_cliente_pago,es_activo,es_churn,es_past_due
18,cus_b98980d3-dce8-4d1e-8ef3-b25b61e0e6fa,137103120,cus_OW2c3LF7NTOYp6,ngomez@cfia.or.cr,Nelson Gomez Rojas,,CR,Active,New Lead,2023-08-25,14900.0,178800.0,1,1,0,0
19,cus_cec750db-759f-4a0e-81de-d4e25753e781,137809100,cus_Ob2atCLF6tqgAs,k.gonzalez@gohisaarquitectos.com,KEVIN GONZALEZ H,,CR,Cancelled,New Lead,2023-09-07,0.0,0.0,0,0,1,0
20,cus_94428966-2733-46b0-bef6-6a5b96f5d9bc,138521057,cus_Of6dEWuC9nYUu1,cynthiaja1985@gmail.com,Cynthia Jiménez Álvarez,,CR,Cancelled,New Lead,2023-09-18,0.0,0.0,0,0,1,0
21,cus_0d30a038-e8d7-4e3a-b916-35e30ac59547,138535310,cus_OfD9DE9j8qADce,alexander@investingcostarica.com,Alexander Saborio M,,CR,Cancelled,New Lead,2023-09-19,0.0,0.0,0,0,1,0
22,cus_6ad5378b-07bd-4526-a968-11e841d25f13,138644607,cus_OfreOgk0tjeztH,danielnavarro@ubalicr.com,Daniel Navarro,,CR,Cancelled,New Lead,2023-09-20,0.0,0.0,0,0,1,0
23,cus_7f167ec5-1f99-4e11-b4f0-95f3598145fa,138669344,cus_OfzeVdXue0coll,info@vmcconstruccion.com,VMC Construcción y Administración de Proyectos Ltda.,,CR,Active,New Lead,2023-09-21,2400.0,28800.0,1,1,0,0
24,cus_08b697d6-b65e-4157-85b9-5d603efd2930,138699691,cus_OgF1yASN0AvEyL,fhurtado@cuboconstruye.com,Compañia constructora,,CR,Cancelled,New Lead,2023-09-21,0.0,0.0,0,0,1,0
25,cus_5477ce37-41c5-45ce-9746-d445a7006642,138903302,cus_Oho9acNVamvxwF,rortiz@argopm.net,RODOLFO ORTIZ GATGENS,,CR,Cancelled,New Lead,2023-09-25,0.0,0.0,0,0,1,0
26,cus_f881282c-79ed-4a90-ac8b-203a9a7f4671,139075680,cus_Ois5hg6ZIIw9jr,mmunoz@apc506.com,Maricela Muñoz,,CR,Cancelled,New Lead,2023-09-28,0.0,0.0,0,0,1,0
27,cus_9a386386-1de4-4e88-a321-e07523047ff7,139105788,cus_Oj9pmhQrM1S6Wk,facturacionnosprefa@gmail.com,Nosprefa inversiones llc srl,,US,Cancelled,New Lead,2023-09-29,0.0,0.0,0,0,1,0
28,cus_bac05dc9-9708-4084-81b1-f4a332b108c3,141859808,cus_OloCBdPrZU711L,homeandglass@gmail.com,Ian Gutierrez Garcia,,CR,Cancelled,New Lead,2023-10-06,0.0,0.0,0,0,1,0
29,cus_a2f10cb3-fd12-4b13-8c9a-e0a99a2ed6b6,149925772,cus_OpgDao0CllSUOH,robertodent@facoli.com,Roberto Dent,,CR,Cancelled,New Lead,2023-10-17,0.0,0.0,0,0,1,0
30,cus_4cc9b260-e5ac-44f0-8c5d-80490a5c4279,154563287,cus_OxkoU9CkEcjwl9,arodriguez@eemcr.com,Adrian Rodriguez P,,CR,Cancelled,New Lead,2023-11-07,0.0,0.0,0,0,1,0
31,cus_776aa79a-e09f-4eb7-8703-fd9057006956,154580985,cus_OxvopHiVTMG3bc,lmurillo@insteleccr.com,Luis Alonso Murillo,,CR,Cancelled,New Lead,2023-11-08,0.0,0.0,0,0,1,0
32,cus_ad353964-8228-46e9-b377-df3a777ece0b,154868105,cus_P0StQN50HJ7Hlc,guillermo@cr-eco.com,Guillermo Lizano,,CR,Cancelled,New Lead,2023-11-14,0.0,0.0,0,0,1,0
33,cus_0abf0f6c-f3c8-40b9-896c-7b539ecc626b,155714293,cus_P2eZDvP3PmGN8F,ijimenez@escojisa.com,Juan Jimenez MadrigaL,,CR,Cancelled,New Lead,2023-11-20,0.0,0.0,0,0,1,0
34,cus_4e7291e6-3532-4cbb-8f04-b23b373690dc,156338776,cus_P5IjTTAWCd0VbF,facturacion@core.cr,Core Desarrolladora S.R.L,,CR,Cancelled,New Lead,2023-11-27,0.0,0.0,0,0,1,0
35,cus_4d9addb0-a201-494d-8335-84b5c5cf842e,156348569,cus_P5PG96tIGirFBe,aurea.ingenieriaymantenimiento@gmail.com,GERMAN JOSE VIQUEZ F,,CR,Active,New Lead,2023-11-27,40000.0,480000.0,1,1,0,0
36,cus_f60b2b95-5d29-4f71-926d-2616a7acc58f,156378281,cus_P5kpRZ1GW0yQzR,mihogarcr@hotmail.com,Diego A. Gomez Calvo,,CR,Cancelled,New Lead,2023-11-28,0.0,0.0,0,0,1,0
37,cus_cc0e9925-c04a-4efd-84f3-f544adc3dd97,157011046,cus_PENI0xgvgh7Hxl,info@morphotr.com,MORPHO SHARED SERVICES S.A.,MORPHO SHARED SERVICES S.A.,CR,Past Due,New Lead,2023-12-21,106750.0,1281000.0,1,0,0,1
38,cus_a9dc3cd1-52e4-41b1-acba-e83af99316a6,157157214,cus_PGyliLcR2T9YLV,luis.solis@somoscmi.com,CR Operaciones & Mantenimiento S.A.,,CR,Cancelled,New Lead,2023-12-28,0.0,0.0,0,0,1,0
39,cus_5f474f4b-4887-498a-a490-d6271e05c416,157158474,cus_PH01nfFXPUwApY,ing.freddynavarro@gmail.com,Freddy Navarro R,,CR,Cancelled,New Lead,2023-12-28,0.0,0.0,0,0,1,0
40,cus_64b51964-60dc-40ca-99e3-990a7db3939f,157894806,cus_PNkvQz1w98wOVj,larias@lomasdesantarosa.net,Luis Arias,,US,Cancelled,New Lead,2024-01-15,0.0,0.0,0,0,1,0
41,cus_b1c80624-fd67-404f-afd6-daf4e631aaea,159277052,cus_PTgvjQ562QbqyI,dparra@proconsacr.com,Diego Parra,,CR,Cancelled,New Lead,2024-01-31,0.0,0.0,0,0,1,0
42,cus_f9ede00e-1c12-4979-99e2-c6078e3acfd1,159288786,cus_PToujzvjqJfZYL,lc@domian-ing.com,Luis Carlos Domian Moya,,CR,Cancelled,New Lead,2024-02-01,0.0,0.0,0,0,1,0
43,cus_0484e7d3-e47a-48b7-b145-b5a157218dc4,159459191,cus_PVvxmgwkKWnOSs,guanafaly@gmail.com,Rafael Sancho,,CR,Cancelled,New Lead,2024-02-06,0.0,0.0,0,0,1,0
44,cus_87e7c07c-a8b1-4af6-9d54-f8d92058ed58,160939140,cus_Pe6o15XcySOAVh,factura@reyco.cr,CARLOS LOAIZA,,CR,Cancelled,New Lead,2024-02-28,0.0,0.0,0,0,1,0
45,cus_73027157-0a0b-4cf8-befd-6e90129c83bd,160951454,cus_PeC5z8A0f80K3o,jdherrerae@gmail.com,Consultora T Tres Ltda,,CR,Active,New Lead,2024-02-28,14900.0,178800.0,1,1,0,0
46,cus_e114b428-a200-4882-87d7-5b0a625c2bea,160953053,cus_PeCnVQ2CfMNT2S,facturas@lgservicios.net,FARIDE RAMIREZ D,,CR,Cancelled,New Lead,2024-02-28,0.0,0.0,0,0,1,0
47,cus_14be6c1f-abc2-49c4-a30e-9e65862d0bf1,161647168,cus_Pk9V3wSxc5hZsu,hwolf@cymecr.com,Herbert Wolf Bebout,,CR,Cancelled,New Lead,2024-03-15,0.0,0.0,0,0,1,0
48,cus_a2add57c-40e6-4530-a763-59dcc5226887,161742978,cus_PlJW49gGhT2af1,grupolascolinas@gmail.com,juan garit aarce,,CR,Cancelled,New Lead,2024-03-18,0.0,0.0,0,0,1,0
49,cus_4298ad91-9ace-4a8f-b4dd-479fc8dbe8a8,161797038,cus_PliPUqmcXC7GGU,acerdas@fcvconstruccion.com,LUIS CERDAS F.,,CR,Active,New Lead,2024-03-19,80000.0,960000.0,1,1,0,0
50,cus_88f54aa7-6b5b-4fc2-90c1-921dadda47ba,161797198,cus_PliVAY0kNLvJtL,compras@ineleccr.com,ALVARO SABORIO VIQUEZ,,CR,Active,New Lead,2024-03-19,52500.0,630000.0,1,1,0,0
51,cus_d5f9ea15-6781-478f-8191-8843e66fac17,161916853,cus_PmmeR0OYsbesFh,facturas@cloudparkingca.net,Cloud Parking Sociedad Anónima,,CR,Active,New Lead,2024-03-22,38500.0,462000.0,1,1,0,0
52,cus_76349ae6-30a7-4065-b08a-bb918a1d3bca,162283923,cus_Pqx8y4OJnM382b,jmonge@constructoracoinsa.com,Jonathan Monge Cubillo,,CR,Active,New Lead,2024-04-02,40000.0,480000.0,1,1,0,0
53,cus_656d660a-04d8-4e4b-a20e-cba657bae7eb,162497498,cus_PrfAchImcEiXiE,constructoraluxuscr@gmail.com,Luis A. Fonseca Orias,,CR,Cancelled,New Lead,2024-04-04,0.0,0.0,0,0,1,0
54,cus_5aa9329a-c01a-4524-b894-6acff2b19ac9,169630747,cus_PzZCraMsLAVrsE,art.kopper@gmail.com,Priscilla Salas Kopper,,CR,Cancelled,New Lead,2024-04-25,0.0,0.0,0,0,1,0
55,cus_52b2e05a-3de8-482f-988f-de8182a26352,170200121,cus_Q0yBUGraDBbGAm,macofacturas22@gmail.com,MACO MANAGEMENT AND CONSTRUCTION,,CR,Cancelled,New Lead,2024-04-29,0.0,0.0,0,0,1,0
56,cus_7804000c-cf6d-4ed1-b135-fdb4d1eb0d26,170317912,cus_Q1NjUeiDd9iUk4,pmadrazo@aircrete.com.mx,paulino madrazo martin,,MX,Cancelled,New Lead,2024-04-30,0.0,0.0,0,0,1,0
57,cus_0ca56b82-3319-4e4c-be75-bf2832eeb888,170921610,cus_Q43YZlCxR7WfiB,mcarranza@cohousingcr.com,Constructora Cohousing S.A,Cédula Jurídica: 3-101-646370,CR,Active,New Lead,2024-05-07,25000.0,300000.0,1,1,0,0
58,cus_66118f93-0200-4a37-9af7-7f6c33e7d148,171099145,cus_Q4MJZLnC8ygo1C,info@avsolucionescr.com,Danilo Avila Araya,,CR,Past Due,New Lead,2024-05-08,40000.0,480000.0,1,0,0,1
59,cus_51ce4bd4-e969-41ee-bde3-e4e9cb4ab140,171134693,cus_Q4TWXK7JfwCE3h,facturacion@fabricarte.co.cr,El Roble Manufactura de Muebles S.A,Fabricarte,CR,Cancelled,New Lead,2024-05-09,0.0,0.0,0,0,1,0
60,cus_3e45681f-00a6-4df9-ba4b-90e79402f2ce,171424996,cus_Q6I9X2JjeA1EcJ,ahuertas@hs-ingenieria.com,Alejandro Huertas S,,CR,Active,New Lead,2024-05-13,50000.0,600000.0,1,1,0,0
61,cus_5859071a-f566-41f3-b136-19cd35a028da,171464229,cus_Q6aIRb45JW7Qch,guillermo@irabazicorp.com,Guillermo Castillo,,GT,Cancelled,New Lead,2024-05-14,0.0,0.0,0,0,1,0
62,cus_a57eb008-c677-4a70-9e20-984e449214cd,171537712,cus_Q745HIKrEIZX5Y,contabilidad@grupoalysa.com,Alexis Duran Boza,,CR,Cancelled,New Lead,2024-05-15,0.0,0.0,0,0,1,0
63,cus_48112239-d960-41ea-997d-0661c6975301,171829944,cus_Q8tvAkJyAMd1FX,factura@vectracr.com,Rafael Soto,,CR,Active,New Lead,2024-05-20,31667.0,380004.0,1,1,0,0
64,cus_a8210259-0e23-4a05-9336-74565ae03797,172435288,cus_QBzHxT41uigXMH,avasquez@pilotes.co.cr,Pilotes Preexcavados de Costa Rica SA. 3101524898,,CR,Active,New Lead,2024-05-29,50000.0,600000.0,1,1,0,0
65,cus_dbc3061b-a154-484e-bfd0-a1ce396cb5fe,172460020,cus_QCBNJ4uPu6bHyc,contabilidad@mavisoluciones.com,Mavisa Soluciones Profesionales,,CR,Cancelled,New Lead,2024-05-29,0.0,0.0,0,0,1,0
66,cus_0bcc9ee6-d2ea-4488-add4-735ca780ef68,172841740,cus_QEYs79LGFiHdH0,cchacon@manacu.co.cr,Maria Chacon Gonzalez,,CR,Cancelled,New Lead,2024-06-04,0.0,0.0,0,0,1,0
67,cus_874f4619-39d5-4fa9-926b-3cb2858341a5,172919875,cus_QFB1xjnMxhBg3l,info@prodeocr.com,Manfred Gerardo Gonzalez Ugalde,,CR,Active,New Lead,2024-06-06,33333.0,399996.0,1,1,0,0
68,cus_168923bd-9fbe-4646-a004-08c91eb25eec,172923348,cus_QFCIDYcXSdfMmc,manuel.solano@topserv.cr,Stealth CR,,CR,Active,New Lead,2024-06-06,50000.0,600000.0,1,1,0,0
69,cus_c084bcd6-984d-4804-b748-0031907d30cc,173355110,cus_QHXw5Q7VndKVIP,emojica@manifesto.cr,eduardo alonso mojica larios,,CR,Cancelled,New Lead,2024-06-12,0.0,0.0,0,0,1,0
70,cus_4f5f9e8e-9b1d-41ac-8a1f-1369bdff0a5c,173404643,cus_QHuNCgHW8BPK6u,jsp.logistics@gmail.com,Construction and Project Management Patenaude LTDA,,CR,Cancelled,New Lead,2024-06-13,0.0,0.0,0,0,1,0
71,cus_2c52593d-53ac-4575-9f88-ad69ee2c5865,174451807,cus_QNAP2NEGcdg5uR,ivanparedesromero@gmail.com,Ivan Paredes Romero,,CL,Cancelled,New Lead,2024-06-27,0.0,0.0,0,0,1,0
72,cus_2f561898-02e2-4f3d-9205-c14e8b1cc642,175526252,cus_QOfPCOGufkYshz,mdsmaderas@gmail.com,Josiah k Hubbard,,US,Cancelled,New Lead,2024-07-01,0.0,0.0,0,0,1,0
73,cus_fda5f9d8-6c8c-4594-8d1c-951f36392c7e,176633949,cus_QSmXPQz5A28PNf,erodriguez@lopezhurtado.com.sv,JOSE ORLANDO LOPEZ,,SV,Cancelled,New Lead,2024-07-12,0.0,0.0,0,0,1,0
74,cus_faa500c8-f5dc-4bed-8fc6-52c27beab9b8,177706325,cus_QWPV6jCa7GYEIS,construfacturasg@hotmail.com,Garza Construction,,CR,Active,New Lead,2024-07-22,40000.0,480000.0,1,1,0,0
75,cus_0ea045fd-3ac9-4ba4-bfb6-2def53c8b988,177719419,cus_QWPaZipDZFeWEz,fxchaves@somixa.com,Constructora SOMIXA S.A,,CR,Active,New Lead,2024-07-22,30000.0,360000.0,1,1,0,0
76,cus_e806bf44-7522-49ab-9aa4-fe8c6a5be0e6,177938254,cus_QWwnMxU75YAaNn,lalarcon@modisa.com.mx,SERVICIOS INTEGRALES DE CONSTRUCCIÓN MODISA SA DE CV,,MX,Cancelled,New Lead,2024-07-24,0.0,0.0,0,0,1,0
77,cus_2463f30c-439b-45e6-9331-746c36aa4a5c,178259533,cus_QY1EvsIR7yojyj,nay@urbanistmo.com,GASTON PAREDES,,PA,Cancelled,New Lead,2024-07-26,0.0,0.0,0,0,1,0
78,cus_5c313a6f-7c36-4ddf-a432-e7df7f82d694,178336420,cus_QYsrP5Ig9DOSEI,gdvpezza@gmail.com,GERARDO DEL VALLE,,GT,Cancelled,New Lead,2024-07-29,0.0,0.0,0,0,1,0
79,cus_09e689b1-0740-4a2a-978f-397f452a07c3,178499456,cus_QZ7IVvBjJEzZkX,lourdes@estudiololo.com,Lourdes Cordero,,GT,Active,New Lead,2024-07-29,20833.0,249996.0,1,1,0,0
80,cus_1cb68834-f98d-4a3f-bda7-00568da57ba0,178666601,cus_QZZDOWyku28bCf,cristobal.olea@olmac.cl,Cristobal Olea Vargas,,CL,Cancelled,New Lead,2024-07-31,0.0,0.0,0,0,1,0
81,cus_2b2745e5-fd0a-4d7b-aef6-ad8db069e8d1,178746745,cus_QZolX9r1lNITGC,proyectos.sercof@gmail.com,Edwin Daza,,PA,Cancelled,New Lead,2024-07-31,0.0,0.0,0,0,1,0
82,cus_29d91087-9c29-4751-840f-937b0d461ca0,179792290,cus_QeTNxt1A6A0K92,fernando.grijalba@foxtecla.com,Fernando Grijalba,,SV,Cancelled,New Lead,2024-08-13,0.0,0.0,0,0,1,0
83,cus_0f6b101d-f8f4-48a3-8a71-d16157fd9753,179900435,cus_QeoI5gkUHvB4Uf,mmoralesr08@gmail.com,Ricardo Martinez,,CR,Cancelled,New Lead,2024-08-14,0.0,0.0,0,0,1,0
84,cus_12fb9fba-9d9b-47f2-8203-766c91209986,180921572,cus_QhO2GGB0TR2waR,kriveras@optimizadevelopers.com,BORJA MARTIN,,PA,Active,New Lead,2024-08-20,20000.0,240000.0,1,1,0,0
85,cus_b0fe6cc2-e503-4010-9ed3-224789e31511,181128212,cus_QhdbzniR7FwraX,jodacabal@hotmail.com,Jonathan Joel Oda Caballero,,PA,Active,New Lead,2024-08-21,40000.0,480000.0,1,1,0,0
86,cus_c1b6121b-d654-4fcf-9f5f-9476197edbbf,181220180,cus_QhjbubeGfYqJzy,asanamx@gmail.com,Arturo Sanchez Arellano,,MX,Cancelled,New Lead,2024-08-21,0.0,0.0,0,0,1,0
87,cus_22cdda8f-5f8e-4b2b-9d6d-e9b247e2b1f6,181841802,cus_QkIyhZiy5DwlSq,admin@cargocitypanama.com,"GRAND BELL INTERNATIONAL, S.A",,PA,Active,New Lead,2024-08-28,20000.0,240000.0,1,1,0,0
88,cus_63995861-d1a6-400e-a596-4474b9bde06d,182938817,cus_QonyfDevnVWdfd,proyectos@ctlingenieria.com,JOSE TEJEDOR,,PA,Cancelled,New Lead,2024-09-09,0.0,0.0,0,0,1,0
89,cus_81604b9d-52af-450b-b4ae-8b555a6bccb5,182950265,cus_QoqubdiomtbyMZ,info@emecsacr.com,Guillermo Schwartz Quesada,,CR,Active,New Lead,2024-09-09,16667.0,200004.0,1,1,0,0
90,cus_db6e31d4-b62b-4b9b-a5b0-b95841f8a5c2,182953516,cus_Qorp8jUheSvXCR,cartoga@desher.com.mx,MARLEN SOBERANES,,MX,Active,New Lead,2024-09-09,30000.0,360000.0,1,1,0,0
91,cus_ecd156a6-fa74-4022-a049-043fd1284f1e,184104530,cus_QsvQq5G4gTkpOw,aporras@conceptosneo.com,Conceptos Neo,,GT,Active,New Lead,2024-09-20,25000.0,300000.0,1,1,0,0
92,cus_fb4257a5-f45b-4d8b-a669-43a5892af6be,184775474,cus_QvJFhB3nxVE6kG,info@constructora3r.com,CONCTRUCTORA 3R,RUC: 155637275-2-2016 DV 21,PA,Active,New Lead,2024-09-27,20000.0,240000.0,1,1,0,0
93,cus_5f2f9d91-13f8-4022-878a-18fb1390903e,185025199,cus_QvdM8QXpOcZm9h,pilar.galtes@galtesforn.com,PILAR GALTES FORN,,CR,Cancelled,New Lead,2024-09-27,0.0,0.0,0,0,1,0
94,cus_b60be142-1efc-449f-be99-fc16b234fcf1,185691174,cus_QyD0Jvf8D6vdAX,corporativo.agil@gmail.com,Tania Libertad Vazquez Cordova,,MX,Cancelled,New Lead,2024-10-04,0.0,0.0,0,0,1,0
95,cus_fa2d1d86-3c68-47c9-a297-df61ca91f773,187309781,cus_R1zGZo0H1I6mIf,administracion@icabcsc.mx,viviana isabel juarez solis,,MX,Cancelled,New Lead,2024-10-14,0.0,0.0,0,0,1,0
96,cus_34a62f24-f009-4ddd-8788-c35534aa02b0,190641651,cus_R4vzKvGZ0hN0lr,gerenciatexmo@gmail.com,Juan Carlos Paz,,GT,Cancelled,New Lead,2024-10-22,0.0,0.0,0,0,1,0
97,cus_a70ec1b9-5fa4-4023-96d8-2fb4a3853ec8,190656158,cus_R4zCgAbSTKOwyu,pedro@arcormx.com,PEDRO ZAMORA F,,MX,Active,New Lead,2024-10-22,29000.0,348000.0,1,1,0,0
98,cus_6d9b8e00-375d-41c3-b0c6-d77d0dc31f0c,191627148,cus_R80G4ZHHiE6AZU,daniellightmotion@gmail.com,Jose Daniel Trejo Villarreal,,MX,Cancelled,New Lead,2024-10-30,0.0,0.0,0,0,1,0
99,cus_ee52ca59-397f-40e8-961c-45ec2348e261,196252718,cus_R9rfbGIeTIuj9S,ecampos@imnovaarquitectonico.net,JONATHAN QUIROS,,CR,Cancelled,New Lead,2024-11-04,0.0,0.0,0,0,1,0
100,cus_484c90fb-02b3-427e-89e6-aad7d2a907cc,196374445,cus_RAFlA2oSsltA4y,fpalacios@dipaldesign.com,"DESARROLLADORA INMOBILIARIA PALACIOS, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE",,SV,Cancelled,New Lead,2024-11-05,0.0,0.0,0,0,1,0
101,cus_d3b199a2-7ef7-4314-b295-19becad62923,196380227,cus_RAHHf6n6wwMGYY,ns.arq1092@gmail.com,NS CONSTRUCTORA NOE SANCHEZ VASQUEZ,,CR,Past Due,New Lead,2024-11-06,20000.0,240000.0,1,0,0,1
102,cus_4ff47739-77c7-4c3f-9d62-fe1a718ee77c,196453078,cus_RAYdvcMycYd71X,raul@xkto.net,RAUL GALINDO,,GT,Active,New Lead,2024-11-06,25000.0,300000.0,1,1,0,0
103,cus_22482937-25d0-47e1-8068-3d010e114b6d,196454673,cus_RAYuIVviV43U8w,mario.quijano@grupovma.net,Mario quijano,,SV,Cancelled,New Lead,2024-11-06,0.0,0.0,0,0,1,0
104,cus_51a26dc9-c0b8-4d09-a5b9-c3fde0f3a4da,196482691,cus_RAf90SHypP2pX3,jurizar@plusm.com.gt,Luis Gonzalo Zarceño,,GT,Active,New Lead,2024-11-07,30000.0,360000.0,1,1,0,0
105,cus_b804f01b-cd79-4baf-9fdc-ca25a3214a57,196569645,cus_RAywk78cUN8gOO,guadalupe.robledo@faberarquitectos.mx,FABER SOLUTIONS,,MX,Cancelled,New Lead,2024-11-07,0.0,0.0,0,0,1,0
106,cus_5ee0b20b-d364-46a3-adcd-83f6adb4e0d1,196687544,cus_RBM4rwfDKsbYMd,administracion@icmmex.com,"INGENIERIA Y CONSTRUCCIONES MILLAN MERINO CAMARILLO, S.A. DE C.V.",,MX,Active,New Lead,2024-11-08,25000.0,300000.0,1,1,0,0
107,cus_78b21a1e-f50c-4873-ac35-49fa02a3432f,197011465,cus_RCmH2MG31fWbPi,factura@montedes.com,Edwin Castro,,CR,Active,New Lead,2024-11-12,40000.0,480000.0,1,1,0,0
108,cus_4d9b4303-b757-4928-8b9d-dbaaa0a08552,197209431,cus_RDJg6FdK0xftlN,contabilidad@biosarq.com,Daniel Quesada Moreira,,CR,Active,New Lead,2024-11-14,30000.0,360000.0,1,1,0,0
109,cus_be135887-e01b-407f-957b-0bf48d44250b,197316092,cus_RDYfaJmPMlyKBl,oficinamiguelangelr@gmail.com,MIGUEL ANGEL RUIZ JUAREZ,,MX,Cancelled,New Lead,2024-11-14,0.0,0.0,0,0,1,0
110,cus_f97a6dd6-0e39-4612-86ab-4c5318fa7f66,197334459,cus_RDcSKNA0ezPWbj,aidemorales@me.com,rosa aide morales fuentes,,MX,Cancelled,New Lead,2024-11-14,0.0,0.0,0,0,1,0
111,cus_22654b10-9c52-45de-a7e6-8568eaf27c82,197670690,cus_RF6Gec9u0bukBB,facturacion@guevaradesarrollos.com,Randy Guevara Campos,,CR,Cancelled,New Lead,2024-11-18,0.0,0.0,0,0,1,0
112,cus_76b8bf1b-a90d-4aba-89a3-4d0266d28280,199551066,cus_RIVXn2M7PgTRFY,paul.s@remasarq.com,paul sanchez,,MX,Cancelled,New Lead,2024-11-27,0.0,0.0,0,0,1,0
113,cus_fe792c94-9252-43d9-96ef-77f04b977c4c,200104929,cus_RJcAONap0yaiQs,oswaldoescobar@sypcon.com.gt,"SYPCON, S.A.",,GT,Active,New Lead,2024-11-30,20000.0,240000.0,1,1,0,0
114,cus_4f4ed4ed-959b-42d9-972f-ff863aa27263,200365012,cus_RKfwfW5X6IZxQH,angel.partida@calvec.com,Angel Partida C,,MX,Cancelled,New Lead,2024-12-03,0.0,0.0,0,0,1,0
115,cus_941c19a8-ab3a-42f2-ad72-a47033c4529d,200938875,cus_RMzLTRmuY01kWM,mbernardi@vymcr.com,Maria Elisa Bernardi,,CR,Cancelled,New Lead,2024-12-09,0.0,0.0,0,0,1,0
